job_title,company,location,salary_aud,job_type,experience_years,skills_required,remote_option,date_posted
Business Intelligence Analyst,Telstra,Subiaco,87000,Internship,3,"Hadoop, pandas, NLP",Yes,2026-04-19
Data Analyst,Rio Tinto,Remote,82000,Part-time,6,"Deep Learning, NLP, Azure",Hybrid,2026-05-20
Python Developer,Murdoch University,Bentley,94000,Contract,7,"REST APIs, pandas, FastAPI, Python, Docker, Machine Learning",Yes,2026-02-25
Graduate Data Analyst,Curtin University,Hybrid - Perth,66000,Contract,1,"Excel, PyTorch, Power BI",Yes,2026-04-28
Data Engineer,Curtin University,Hybrid - Perth,88000,Part-time,8,"Excel, Git, NumPy, Statistics, JavaScript, Node.js",Hybrid,2026-01-18
Data Analyst,Wesfarmers,Midland,123000,Contract,3,"Docker, NumPy, Excel, Data Visualisation",No,2026-04-04
Data Scientist,Woodside,Hybrid - Perth,104000,Part-time,7,"Deep Learning, R, pandas, Spark, Agile",Hybrid,2026-03-04
Data Scientist,BHP,Fremantle,110000,Full-time,4,"pandas, JavaScript, Spark, Git, NLP, R",No,2026-04-13
Machine Learning Engineer,Commonwealth Bank,Osborne Park,84000,Casual,4,"Agile, REST APIs, Communication, Spark",Hybrid,2026-04-28
Data Scientist,HBF,Midland,97000,Internship,7,"NLP, Hadoop, Git, pandas",No,2026-04-03
Junior Data Scientist,Murdoch University,Hybrid - Perth,60000,Full-time,0,"AWS, Excel, Docker, SQL, Power BI, Tableau, JavaScript",No,2026-04-08
Junior ML Engineer,RAC WA,West Perth,70000,Contract,2,"pandas, Git, Data Visualisation, Python, R, Hadoop, Power BI",Yes,2026-03-17
Python Developer,Fortescue,Subiaco,90000,Contract,3,"Python, Hadoop, Communication, pandas, Azure, Docker",Hybrid,2026-05-10
Junior ML Engineer,Rio Tinto,Hybrid - Perth,62000,Contract,2,"TensorFlow, Docker, Machine Learning, Git",No,2026-01-05
Junior Data Analyst,GovTech WA,Subiaco,67000,Internship,0,"NLP, SQL, Communication, REST APIs, Excel",Yes,2026-02-02
Business Intelligence Analyst,Commonwealth Bank,West Perth,111000,Casual,8,"Machine Learning, pandas, Azure, Node.js, MongoDB, Deep Learning, Git",Hybrid,2026-04-06
Software Engineer,RAC WA,Fremantle,139000,Internship,6,"MySQL, Power BI, NLP, Data Visualisation, Excel, scikit-learn, Python",Yes,2026-01-02
Junior Data Analyst,Woodside,Remote,57000,Part-time,1,"Excel, Communication, SQL, Data Visualisation",No,2026-05-05
Junior Data Scientist,GovTech WA,Fremantle,73000,Casual,2,"Hadoop, Agile, Communication, REST APIs",No,2026-02-18
Junior Data Analyst,Wesfarmers,Perth CBD,58000,Casual,2,"MongoDB, TensorFlow, Agile, Data Visualisation, MySQL, Hadoop, SQL, R",Hybrid,2026-03-28
Graduate Data Analyst,ANZ Bank,West Perth,59000,Casual,1,"Deep Learning, Git, MySQL, Tableau",Yes,2026-01-20
Software Engineer,Murdoch University,Osborne Park,133000,Casual,3,"Power BI, SQL, JavaScript, Git, Python, Excel, NLP",Yes,2026-04-13
API Developer,Small Tech Startup,West Perth,84000,Casual,8,"PyTorch, Python, pandas, Agile",Hybrid,2026-05-23
Business Intelligence Analyst,RAC WA,Perth CBD,127000,Contract,7,"Tableau, Deep Learning, NumPy, Communication, SQL, REST APIs",Yes,2026-01-13
Junior ML Engineer,Woodside,Hybrid - Perth,71000,Full-time,0,"Agile, Data Visualisation, Azure, Machine Learning, SQL, Communication, Excel",Hybrid,2026-03-02
Python Developer,HBF,Hybrid - Perth,88000,Internship,7,"NLP, REST APIs, Node.js, SQL, Data Visualisation, Excel, MongoDB",No,2026-03-08
Junior Data Scientist,KPMG,Osborne Park,65000,Contract,2,"pandas, PyTorch, Tableau, R",Yes,2026-01-03
